Cardinal Name,ID,set,Major and Minor triads,Rothenberg Propriety,Lerdahl Instable Modes,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Consecutive semitones,Subset of Diatonic,Subset of MOLT,# Transpositions,Spread Unevenness,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,# Diagnostic Intervals,Semitone Set Violations,# Segments,Scale Degree Clarity,Motive Strength,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Stackable with 3rds,Scalar Pentachord,Imperfections,Polygon Area,Inverse Card. name,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Unique Diads,Total Diads,Sameness Quotient,Coherence Quotient,Prime Form?,Note 2,Note 3,Note 4,Note 5
597,48,0 2 4 6 9,2,proper,0,2,0,3,2,2,2,1,0,true,3,12,0.2142857142857143,5,9,10,0.1634349062496629,0.22768474850927148,0.1669834608989471,1,10,2,1,4,1,3,true,false,3,0.7318065577501445,597,1,0,2,5,11,0.30000000000000004,0.96,1,2,4,6,9
405,49,0 2 4 7 8,1,proper,0,4,1,2,1,3,2,1,1,false,3,12,0.3928571428571429,5,10,12,0.145928241371811,0.2632104824323437,0.19431077245000186,3,8,4,0.8,3,1,3,false,false,3,0.6522290862041956,339,0,0,1,6,14,0.15000000000000002,0.8,0,2,4,7,8
661,50,0 2 4 7 9,2,strictly proper,0,2,0,3,2,1,4,0,0,true,1,12,0.2142857142857143,3,6,10,0.1664432664647788,0.21543265646088483,0.1664432664647788,1,10,4,1,4,0,2,false,false,1,0.7318065577501445,661,3,0,1,4,10,0.5,1,1,2,4,7,9
229,51,0 2 5 6 7,0,improper,0,4,2,2,1,1,3,1,2,false,2,12,0.5714285714285715,5,9,12,0.164550237714451,0.3435822148700085,0.29813997109162566,5,6,4,0.6,3,2,3,false,false,2,0.5357195815851935,167,0,0,0,6,16,0.050000000000000044,0.28,0,2,5,6,7
357,52,0 2 5 6 8,1,improper,0,4,1,2,2,2,1,2,1,false,6,12,0.3928571428571429,5,8,14,0.14576535634625945,0.27128567646036006,0.24476898930406538,4,8,5,0.8,3,2,4,false,false,4,0.6522290862041957,333,0,0,1,6,16,0.09999999999999998,0.6,0,2,5,6,8
613,53,0 2 5 6 9,3,proper,0,3,1,1,3,2,2,1,1,false,3,12,0.32142857142857145,4,9,10,0.13090912422658088,0.22722320280696548,0.21019419739834616,3,8,4,0.6,4,1,3,false,false,3,0.6948745246770909,595,0,0,0,6,11,0.25,0.96,0,2,5,6,9
421,54,0 2 5 7 8,1,improper,0,4,1,2,2,1,3,1,1,true,2,12,0.3928571428571429,4,9,10,0.13610327892604496,0.26373603598268935,0.24969537215939797,4,8,5,0.8,3,1,3,false,false,2,0.6522290862041956,331,1,1,1,6,13,0.19999999999999996,0.8,0,2,5,7,8
121,55,0 3 4 5 6,0,improper,1,3,3,2,2,1,1,1,3,false,2,12,0.7500000000000001,5,9,10,0.20005339189332658,0.4583841293078633,0.2630432831517859,4,4,3,0.2,4,3,4,false,false,4,0.3978873577297436,79,0,0,0,6,13,0.19999999999999996,0.07999999999999996,0,3,4,5,6
185,56,0 3 4 5 7,2,improper,1,4,2,2,2,2,2,0,2,false,2,12,0.5714285714285715,5,10,10,0.1765033669479774,0.3735384499758733,0.20532545717862527,4,6,4,0.6,3,2,3,false,false,3,0.5357195815851935,157,0,0,0,5,16,0.050000000000000044,0.12,0,3,4,5,7
313,57,0 3 4 5 8,2,improper,1,3,2,1,2,3,2,0,2,false,2,12,0.5,5,10,12,0.15127794546907447,0.32202730147325753,0.16087712908904203,1,6,4,0.6,3,2,4,false,false,3,0.6152970531311421,313,0,0,0,5,13,0.19999999999999996,0.43999999999999995,1,3,4,5,8
217,58,0 3 4 6 7,2,improper,1,4,2,1,3,2,1,1,1,false,3,12,0.5714285714285715,5,9,12,0.17873523854721957,0.34033008701889234,0.2084302083666436,4,6,5,0.6,3,3,3,false,false,4,0.5357195815851935,155,0,1,0,6,14,0.09999999999999998,0.28,0,3,4,6,7
345,59,0 3 4 6 8,1,improper,1,4,1,2,2,3,1,1,1,false,3,12,0.3928571428571429,5,10,12,0.16429395648426645,0.2794657048112937,0.16429395648426645,4,8,4,1,3,2,3,true,false,4,0.6522290862041956,309,0,1,1,6,16,0.09999999999999998,0.52,0,3,4,6,8
409,60,0 3 4 7 8,3,improper,1,3,2,0,2,4,2,0,1,false,3,12,0.5,5,7,16,0.1562458695335014,0.27039365134362403,0.1657293896732365,1,6,5,0.8,5,2,3,true,false,3,0.615297053131142,307,0,0,0,4,14,0.25,0.64,0,3,4,7,8
233,61,0 3 5 6 7,1,improper,1,4,2,2,2,1,2,1,2,false,2,12,0.5714285714285715,5,10,10,0.16012386448517102,0.3608703345292239,0.26917409426040273,5,6,4,0.2,3,2,4,false,false,3,0.5357195815851935,151,0,0,0,6,17,0.050000000000000044,0.19999999999999996,0,3,5,6,7
361,62,0 3 5 6 8,2,improper,1,4,1,2,3,1,2,1,1,true,2,12,0.3928571428571429,5,9,12,0.14077814148622114,0.2865522838033118,0.2153310828996738,4,8,5,0.8,3,2,3,true,false,3,0.6522290862041957,301,1,0,1,6,14,0.09999999999999998,0.43999999999999995,0,3,5,6,8
425,63,0 3 5 7 8,3,improper,1,4,1,2,2,2,3,0,1,true,2,12,0.3928571428571429,5,9,10,0.1347446002576727,0.2715680247501877,0.22007629499356135,3,8,4,1,3,1,2,true,false,2,0.6522290862041956,299,2,1,0,5,14,0.09999999999999998,0.56,0,3,5,7,8
457,64,0 3 6 7 8,2,improper,1,3,2,1,2,2,2,1,2,false,3,12,0.5,5,10,10,0.14690868105383703,0.30001735581426203,0.2831506888701913,4,6,3,0.8,3,2,3,false,false,3,0.6152970531311421,295,0,0,0,6,13,0.09999999999999998,0.43999999999999995,0,3,6,7,8
241,65,0 4 5 6 7,1,improper,1,3,3,2,1,1,2,1,3,false,2,12,0.7500000000000001,5,9,10,0.1898890830869705,0.4352796941332423,0.25717701791968767,4,4,3,0.2,4,3,4,false,false,3,0.4561421100392448,143,0,0,0,6,13,0.19999999999999996,0.19999999999999996,0,4,5,6,7
